concept_id,concept_name,concept_code,vocabulary_id,covid19_screen_include
1569474,"Chronic rhinitis, nasopharyngitis and pharyngitis",J31,ICD10CM,1
44820880,Chronic pharyngitis and nasopharyngitis,472,ICD9CM,1
44823137,Acute nasopharyngitis [common cold],460,ICD9CM,1
44826662,Acute laryngopharyngitis,465.0,ICD9CM,1
44825460,Chronic nasopharyngitis,472.2,ICD9CM,1
44829001,Acute upper respiratory infections of other multiple sites,465.8,ICD9CM,1
44833596,Acute pharyngitis,462,ICD9CM,1
44833599,Chronic pharyngitis,472.1,ICD9CM,1
44830105,Acute upper respiratory infections of multiple or unspecified sites,465,ICD9CM,1
44834764,Acute upper respiratory infections of unspecified site,465.9,ICD9CM,1
23137,Chlamydial pharyngitis,232403001,SNOMED,0
25297,Acute pharyngitis,363746003,SNOMED,1
26711,Chronic pharyngitis,140004,SNOMED,1
23798,Acute laryngopharyngitis,55355000,SNOMED,1
257011,Acute upper respiratory infection,54398005,SNOMED,1
258453,Acute upper respiratory infection of multiple sites,78337007,SNOMED,1
441321,Chronic nasopharyngitis,47841006,SNOMED,1
4035987,Viral pharyngitis,1532007,SNOMED,1
4040469,O/E - granular pharyngitis,164260005,SNOMED,0
4051491,Meningococcal pharyngitis,232402006,SNOMED,0
4051490,Glandular fever pharyngitis,232401004,SNOMED,0
4051493,Chronic ulcerative pharyngitis,232405008,SNOMED,0
4048187,Acute herpes simplex pharyngitis,232399005,SNOMED,0
4049232,Acute herpes zoster pharyngitis,232400003,SNOMED,0
4085100,Viral upper respiratory tract infection,281794004,SNOMED,1
4080772,Lymphonodular coxsackie pharyngitis,240547000,SNOMED,0
4112500,Chronic follicular pharyngitis,195782000,SNOMED,0
4112530,Pharyngitis keratosa,195779005,SNOMED,0
4110358,Acute gangrenous pharyngitis,195655000,SNOMED,0
4112499,Pharyngitis sicca,195780008,SNOMED,0
4112006,Acute bacterial pharyngitis,195658003,SNOMED,1
4112007,Acute pneumococcal pharyngitis,195659006,SNOMED,0
4112008,Allergic pharyngitis,195663004,SNOMED,0
4110479,Recurrent upper respiratory tract infection,195708003,SNOMED,1
4110512,Influenza with pharyngitis,195924009,SNOMED,1
4112342,Acute ulcerative pharyngitis,195657008,SNOMED,0
4112343,Acute viral pharyngitis,195662009,SNOMED,1
4109893,Acute phlegmonous pharyngitis,195656004,SNOMED,0
4109894,Acute staphylococcal pharyngitis,195660001,SNOMED,0
4131441,Exudative pharyngitis,126664009,SNOMED,0
4126438,Chronic granular pharyngitis,2365002,SNOMED,0
4170621,Vesicular pharyngitis,274102007,SNOMED,0
4150370,Respiratory syncytial virus pharyngitis,31309002,SNOMED,1
4193918,Parainfluenza virus pharyngitis,78911000,SNOMED,1
4183609,Influenzal acute upper respiratory infection,43692000,SNOMED,1
4181583,Upper respiratory infection,54150009,SNOMED,1
4197268,Nasopharyngitis,51476001,SNOMED,1
4207185,Bacterial upper respiratory infection,312118003,SNOMED,1
4190176,Ulcerative pharyngitis,39271004,SNOMED,0
4193318,Infective pharyngitis,312422001,SNOMED,1
4226263,Pharyngitis,405737000,SNOMED,1
4233054,Enteroviral lymphonodular pharyngitis,40766000,SNOMED,0
4241328,Phlegmonous pharyngitis,59471009,SNOMED,0
4240728,Suppurative pharyngitis,58031004,SNOMED,0
4244268,Parainfluenza virus rhinopharyngitis,59221008,SNOMED,0
4273688,Atrophic pharyngitis,63866002,SNOMED,0
4247910,Gangrenous pharyngitis,72430001,SNOMED,0
4301754,Adenoviral pharyngitis,78430008,SNOMED,1
4297292,Pneumococcal pharyngitis,76651006,SNOMED,0
4305659,Staphylococcal pharyngitis,82228008,SNOMED,0
4337956,Hypertrophic pharyngitis,87326000,SNOMED,0
4318117,Mycoplasmal pharyngitis,95885008,SNOMED,1
46270122,Upper respiratory tract infection due to H1N1 influenza,142941000119109,SNOMED,1
46273463,Upper respiratory tract infection due to Influenza,10685111000119102,SNOMED,1
46270491,Upper respiratory tract infection due to Influenza A,328531000119104,SNOMED,1
36714339,Candidiasis of upper respiratory tract co-occurrent with human immunodeficiency virus infection,719522009,SNOMED,0
