concept_id,concept_name,concept_code,vocabulary_id,dx_class
756050,Exposure to patient with severe acute lower respiratory distress (SARS) of unknown etiology,OMOP4873947,OMOP Extension,exp
756061,Asymptomatic infection caused by severe acute respiratory syndrome coronavirus 2,OMOP4873910,OMOP Extension,dx
756062,Community contact with patient with confirmed case caused by severe acute respiratory syndrome coronavirus 2,OMOP4873951,OMOP Extension,exp
756064,Suspected exposure (but ruled out after evaluation) to severe acute respiratory syndrome coronavirus 2,OMOP4873946,OMOP Extension,exp
756068,Close contact with patient with presumptive/probable (then not confirmed) case caused by severe acute respiratory syndrome coronavirus 2,OMOP4873950,OMOP Extension,exp
756069,Close contact with patient with confirmed or presumptive/probable case caused by severe acute respiratory syndrome coronavirus 2,OMOP4873959,OMOP Extension,exp
756072,Presence in a healthcare facility where disease caused by severe acute respiratory syndrome coronavirus 2 has been managed,OMOP4873956,OMOP Extension,exp
756075,Exposure to patient with presumptive/probable case caused by severe acute respiratory syndrome coronavirus 2,OMOP4873952,OMOP Extension,exp
756076,Close contact with patient with presumptive/probable case caused by severe acute respiratory syndrome coronavirus 2,OMOP4873961,OMOP Extension,exp
756077,Close contact with patient with confirmed case caused by severe acute respiratory syndrome coronavirus 2,OMOP4873960,OMOP Extension,exp
756079,Healthcare contact of Visitor with patient with confirmed case caused by severe acute respiratory syndrome coronavirus 2,OMOP4873955,OMOP Extension,exp
756081,Infection of lower respiratory tract caused by severe acute respiratory syndrome coronavirus 2,OMOP4873908,OMOP Extension,dx
756082,Exposure to patient with presumptive/probable (then not confirmed) case caused by severe acute respiratory syndrome coronavirus 2,OMOP4873963,OMOP Extension,exp
756083,Suspected exposure to severe acute respiratory syndrome coronavirus 2,OMOP4873962,OMOP Extension,exp
37311060,Suspected disease caused by 2019-nCoV,840544004,SNOMED,dx
37311065,2019-nCoV,840533007,SNOMED,dx
704996,Patient meets COVID-19 laboratory diagnostic criteria,OMOP4912978,SNOMED,dx
713856,Multisystem inflammatory syndrome (MIS),M35.81,ICD10CM,dx
703578,Multisystem inflammatory syndrome (MIS),OMOP5042964,OMOP Extension,dx
3661405,Acute bronchitis caused by SARS-CoV-2,1.38389E+17,SNOMED,dx
3661406,Acute respiratory distress syndrome due to disease caused by Severe acute respiratory syndrome coronavirus 2,6.74814E+17,SNOMED,dx
3661408,Pneumonia caused by SARS-CoV-2,8.82785E+17,SNOMED,dx
3662381,Asymptomatic SARS-CoV-2,1.89486E+17,SNOMED,dx
3663281,Lower respiratory infection caused by SARS-CoV-2,8.8053E+17,SNOMED,dx
3655975,Sepsis due to disease caused by Severe acute respiratory syndrome coronavirus 2,870588003,SNOMED,dx
3655976,Acute hypoxemic respiratory failure due to disease caused by Severe acute respiratory syndrome coronavirus 2,870590002,SNOMED,dx
3655977,Rhabdomyolysis due to disease caused by Severe acute respiratory syndrome coronavirus 2,870591003,SNOMED,dx
3656667,Cardiomyopathy due to disease caused by Severe acute respiratory syndrome coronavirus 2,1.19731E+14,SNOMED,dx
3656668,Conjunctivitis due to disease caused by Severe acute respiratory syndrome coronavirus 2,1.19741E+14,SNOMED,dx
3656669,Dyspnea caused by Severe acute respiratory syndrome coronavirus 2,1.19981E+14,SNOMED,dx
3661632,Thrombocytopenia due to Severe acute respiratory syndrome coronavirus 2,866152006,SNOMED,dx
3661748,Acute kidney injury due to disease caused by Severe acute respiratory syndrome coronavirus 2,870589006,SNOMED,dx
3661885,Fever caused by Severe acute respiratory syndrome coronavirus 2,1.19751E+14,SNOMED,dx
710706,"Post COVID-19 condition, unspecified",U09.9,ICD10,dx
