CHLORIDE,2075-0,PHIS
CHOLESTEROL,2093-3,PHIS
CKMB %,20569-0,PHIS
CLADOSPORIUM HERBARUM (M2) IGE,6075-6,PEDSnet
CLAM (F207) IGE,6076-4,PEDSnet
CO2 TENSION,11557-6,PHIS
COCKROACH (I6) IGE,6078-0,PEDSnet
COCONUT (F36) IGE,6081-4,PEDSnet
CODFISH (F3) IGE,6082-2,PEDSnet
COLOR,5778-6,PEDSnet
COMMON RAGWEED (SHORT) (W1) IGE,6085-5,PEDSnet
CORN (F8) IGE,6087-1,PEDSnet
CORRECTED WHITE COUNT,12227-5,PHIS
CORTISOL,2143-6,AAP-CER2
CORTISOL AM,9813-7,PHIS
CORTISOL PM,9812-9,PHIS
CPK ISOENZYME,5912-1,PEDSnet
CRAB (F23) IGE,6092-1,PEDSnet
CREATINE KINASE,2157-6,PHIS
CREATINE KINASE MB,32673-6,PHIS
CREATININE,2160-0,PHIS
"CREATININE, URINE MG/DL",2161-8,PHIS
CSF BODY FLUID TYPE,14725-6,PEDSnet
"CULTURE, BODY FLUID",611-4,PEDSnet
"CULTURE, URICULT",630-4,PEDSnet
"CULTURE, WOUND DEEP",43407-6,PEDSnet
"CULTURE, WOUND SURFACE",17915-0,PEDSnet
CYCLOSPORINE A,3520-4,PHIS
CYSTINE CRYSTALS,5784-4,PHIS
D-DIMER,48065-7,PHIS
DEHYDROEPIANDROSTERONE SULFATE,2193-1,PEDSnet
DERMATOPHAGOIDES FARINAE (D2) IGE,6095-4,PEDSnet
DERMATOPHAGOIDES PTERONYSSINUS (D1) IGE,6096-2,PEDSnet
DIFFERENTIAL COMMENT,58445-8,PEDSnet
DIFFERENTIAL METHOD,49024-3,PEDSnet
"DIHYDROTESTOSTERONE, SERUM",1848-1,PEDSnet
DOG DANDER (E5) IGE,6098-8,PEDSnet
DOG EPITHELIA (E2) IGE,6099-6,PEDSnet
DOHLE BODIES,7792-5,PHIS
E COLI SHIGA TOXIN EIA,53946-0,PEDSnet
ENTEROHEMORRHAGIC E. COLI EIA,53946-0,PEDSnet
EGG MIX (YOLK & WHITE) (F245) IGE,7291-8,PEDSnet
EGG WHITE (F1) IGE,6106-9,PEDSnet
EGG YOLK (F75) IGE,6107-7,PEDSnet
ELM (T8) IGE,6109-3,PEDSnet
ENGLISH PLANTAIN (W9) IGE,6110-1,PEDSnet
ENTEROVIRUS PCR,29591-5,PHIS
EOSINOPHILS,26450-7,PHIS
"EOSINOPHILS, BF",26451-5,PHIS
EPITHELIAL CASTS,45386-0,PHIS
"EPITHELIAL CELLS, BF",35652-7,PEDSnet
"ESTROGENS, TOTAL",2254-1,PEDSnet
"EXTRACELLULAR BACTERIA, BF",41602-4,PEDSnet
FASTING SPECIMEN,1557-8,PEDSnet
FATTY CASTS,33231-2,PHIS
FERRITIN,2276-4,PHIS
FIBRINOGEN,3255-7,PHIS
FLUID COLOR,10335-8,PEDSnet
"FOLATE, RBC",2283-0,PEDSnet
"FOLATE, SERUM",2284-8,PEDSnet
FREE T4 INDEX (T7),32215-6,PEDSnet
FREE THYROXINE (FREE T4),3024-7,PHIS
FSH,15067-2,PEDSnet
FUNGAL DERMATOPHYTE SCREEN,55305-7,PHIS
GEL ANTIBODY SCREEN,75263-4,PEDSnet
GGT,2324-2,AAP-CER2
GIANT PLATELETS,5908-9,PEDSnet
GLOBULIN,2336-6,PEDSnet
GLOMERULAR FILTRATION RATE,33914-3,PHIS
GLUCOSE,2345-7,PHIS
"GLUCOSE, CSF",2342-4,PHIS
"GLUCOSE, URINE",2350-7,PHIS
GLUTEN (F79) IGE,6125-9,PEDSnet
GRAM STAIN,664-3,PHIS
GRANULAR CASTS,46134-3,PHIS
H. PYLORI ANTIGEN,31843-6,PEDSnet
HAZELNUT (F17) IGE,6136-6,PEDSnet
HDL CHOLESTEROL,2085-9,AAP-CER2
HEMATOCRIT,20570-8,PHIS
HEMOCCULT,2335-8,PEDSnet
HEMOGLOBIN,718-7,PHIS
HEMOGLOBIN A1C,4548-4,PHIS
"HEPARIN ANTI XA, LOVENOX",3271-4,PHIS
"HEPARIN ANTI XA, UNFRACTIONATED",3274-8,PEDSnet
HGB A,4546-8,PHIS
HGB A2,4552-6,PHIS
HGB C,4563-3,PHIS
HGB COMMENT,57703-1,PHIS
HGB D,4569-0,PHIS
HGB E,4575-7,PHIS
HGB E,4575-7,PHIS
HGB E,4575-7,PHIS
HGB E,4575-7,PHIS
HGB F,4576-5,PHIS
HGB F,4576-5,PHIS
HGB F,4576-5,PHIS
HGB F,4576-5,PHIS
HGB S,4625-0,PHIS
HOWELL-JOLLY BODIES,7793-3,PHIS
HYALINE CASTS,46135-0,PHIS
HYPERSEGMENTED SEGS,765-8,PHIS
HYPOCHROMIA,728-6,PHIS
IGA,2458-8,PHIS
IGF-I/SOMATOMEDIN-C SERUM,2484-4,PHIS
IMMATURE GRANULOCYTE,51584-1,PEDSnet
IMMUNOGLOBULIN E,19113-0,PHIS
IMMUNOGLOBULIN E,2462-0,PEDSnet
"IMMUNOGLOBULIN G, QUANT, SERUM",2465-3,PEDSnet
"IMMUNOGLOBULIN M, QUANT, SERUM",2472-9,PEDSnet
INFLUENZA A VIRUS RNA PCR,53250-7,PHIS
INFLUENZA B VIRUS RNA PCR,40982-1,PHIS
INR,6301-6,AAP-CER2
INSPIRED OXYGEN,3150-0,PHIS
INSULIN,20448-7,AAP-CER2
IONIZED CALCIUM,1994-3,PHIS
IRON,2498-4,PHIS
IRON SATURATION,2502-3,PEDSnet
ISTAT ANION GAP,41276-7,PEDSnet
JUNE GRASS(KENTUCKY BLUE) (G8) IGE,6153-1,PEDSnet
LACTIC DEHYDROGENASE,2537-9,PHIS
LAMB'S QUARTERS (GOOSE FOOT) (W10) IGE,6156-4,PEDSnet
LATEX IGE,6158-0,PEDSnet
"LDH, BODY FLUID",14803-1,PEDSnet
LDL CHOL. (DIRECT),18262-6,AAP-CER2
LDL CHOLESTEROL,2089-1,AAP-CER2
LEAD,10368-9,PEDSnet
LEUCINE CRYSTALS,5798-4,PHIS
LEUKOCYTE ESTERASE,5799-2,PEDSnet
LH,10501-5,PEDSnet
LIPASE,2572-6,PHIS
LOBSTER (F80) IGE,6165-5,PEDSnet
LYMPHOCYTES,26478-8,PHIS
"LYMPHOCYTES, BF",26479-6,PHIS
MACROCYTOSIS,738-5,PHIS
"MACROPHAGES, BF",30426-1,PHIS
MAGNESIUM,19123-9,PHIS
MAPLE (BOX ELDER) (T1) IGE,6168-9,PEDSnet
MEADOW FESCUE (G4) IGE,6169-7,PEDSnet
MEAN CORPUS HGB CONC,786-4,PHIS
MEAN CORPUSCULAR HGB,785-6,PHIS
MEAN CORPUSCULAR VOLUME,30428-7,PHIS
MEAN PLATELET VOLUME,32623-1,PHIS
MESOTHELIAL CELLS,35079-3,PEDSnet
METAMYELOCYTES,28541-1,PHIS
"METAMYELOCYTES, BF",30366-9,PHIS
METAPNEUMOVIRUS RNA PCR,38917-1,PHIS
METHEMOGLOBIN,2614-6,PHIS
MICROALBUMIN,14957-5,PEDSnet
"MICROALBUMIN, MG/DAY",49023-5,PEDSnet
MICROALBUMIN/CREATININE RATIO,14959-1,PEDSnet
MICROCYTOSIS,741-9,PHIS
MILK (F2) IGE,7258-7,PEDSnet
MIXED CELLULAR CASTS,53848-8,PHIS
MONOCYTES,26485-3,PHIS
"MONOCYTES, BF",26486-1,PHIS
MRSA STAPH SCREEN,35492-8,PHIS
"MYCOPLASMA PNEUMONIAE, PCR",29257-3,PEDSnet
MYELOCYTES,26498-6,PHIS
"MYELOCYTES, BF",30447-7,PHIS
NEUTROPHIL AUTOAB ELISA,21418-9,PEDSnet
"NITRITE, URINE",5802-4,PEDSnet
NON HDL CHOLESTEROL,43396-1,AAP-CER2
"NRBCS, BF",48778-5,PHIS
NUCLEATED RBC,19048-8,PHIS
O2 SAT,20564-1,PHIS
O2 TENSION,11556-8,PHIS
OAK (T7) IGE,6189-5,PEDSnet
ORANGE (F33) IGE,6194-5,PEDSnet
ORCHARD GRASS (COCKSFOOT) (G3) IGE,6195-2,PEDSnet
ORGANISM,630-4,PEDSnet
OSMOLALITY (SERUM),2692-2,PEDSnet
OTHER CELL TYPE,32760-1,PEDSnet
"OTHER CELLS, BF",58472-2,PEDSnet
OTHER CRYSTALS,38459-4,PEDSnet
OVALOCYTES,774-0,PHIS
OXYGEN CONTENT(CO-OX),57800-5,PHIS
OXYHEMOGLOBIN,11559-2,PHIS
PAPPENHEIMER BODIES,7795-8,PHIS
PARAINFLUENZA 4 RNA,41010-0,PEDSnet
PARAINFLUENZA TYPE 1 RNA PCR,29908-1,PHIS
PARAINFLUENZA TYPE 2 RNA PCR,29909-9,PHIS
PARAINFLUENZA TYPE 3 RNA PCR,29910-7,PHIS
PATIENT TEMPERATURE,8310-5,PHIS
PEANUT (F13) IGE,6206-7,PEDSnet
PEAR (F94) IGE,6207-5,PEDSnet
PECAN NUT (F201) IGE,6208-3,PEDSnet
PERENNIAL RYE GRASS (G5) IGE,7369-2,PEDSnet
PH WHOLE BLOOD,11558-4,PHIS
"PH, URINE",5803-2,PHIS
PHOSPHORUS,22733-0,AAP-CER2
PINEAPPLE (F210) IGE,6218-2,PEDSnet
PISTACHIO (F203) IGE,7613-3,PEDSnet
PLASMA GLUCOSE,2345-7,PHIS
PLATELET COUNT,26515-7,PHIS
PNEUMOCYSTIS JIROVECI ANTIGEN,31943-4,PEDSnet
POC ACTIVATED CLOTTING TIME-CA,3184-9,PHIS
POIKILOCYTOSIS,779-9,PHIS
POLYCHROMASIA,10378-8,PHIS
POTASSIUM,2823-3,PHIS
"PREGNANCY TEST, URINE",2112-1,PEDSnet
PROGESTERONE,2839-9,PEDSnet
PROMYELOCYTES,26524-9,PHIS
"PROMYELOCYTES, BF",30467-5,PHIS
"PROTEIN, TOTAL, URINE",27298-9,PEDSnet
PROTEIN/CREATININE RATIO,2890-2,PEDSnet
PROTHROMBIN TIME,5902-2,PHIS
PTT (PATIENT),3173-2,PEDSnet
RBC MORPHOLOGY,18225-3,PEDSnet
RAPAMYCIN,29247-4,PHIS
RAPID STREP,18481-2,PHIS
RDW,47277-9,AAP-CER2
RDW COEFFICIENT OF VARIATION,30385-9,PEDSnet
RDW WITH STANDARD DEVIATION,30384-2,PEDSnet
REACTIVE LYMPHOCYTES,26477-0,AAP-CER2
RED BLOOD CELL COUNT,789-8,PHIS
RED BLOOD CELLS,26455-6,PHIS
RED CELL CASTS,51790-4,PHIS
RED TOP GRASS (G9) IGE,6228-1,PEDSnet
RENAL EPITHELIUM,12248-1,PHIS
MRSA CULTURE ONLY-LC,13317-3,PEDSnet
STOOL CULTURE   -LC,625-4,PEDSnet
"URINE CULTURE, ROUTINE   -LC",630-4,PEDSnet
RETICULOCYTE COUNT,17849-1,PHIS
RHEUMATOID FACTOR,17857-4,PEDSnet
RHINOVIRUS RNA PCR,7993-9,PHIS
RICE (F9) IGE,6230-7,PEDSnet
ROTAVIRUS ANTIGEN DETECTION,17547-1,PEDSnet
ROTAVIRUS PCR,8012-7,PEDSnet
RSV RNA PCR,60271-4,PHIS
RYE (F5) IGE,7674-5,PEDSnet
SALMONELLA/SHIGELLA SCREEN,48806-4,PEDSnet
SCALLOP (F338) IGE,7691-9,PEDSnet
SCHISTOCYTES,800-3,PHIS
SEDIMENTATION RATE,30341-2,PHIS
SEGMENTED NEUTROPHILS,26505-8,PHIS
"SEGMENTED NEUTROPHILS, BF",26506-6,PHIS
SERUM FREE TESTOSTERONE,2991-8,PEDSnet
SESAME SEED (F10) IGE,6242-2,PEDSnet
SEX HORMONE BINDING GLOBULIN,2942-1,PEDSnet
SHRIMP (F24) IGE,6246-3,PEDSnet
SICKLE CELLS,801-1,PHIS
SODIUM,2951-2,PHIS
SODIUM (WHOLE BLOOD),2947-0,PHIS
SOYBEAN (F14) IGE,6248-9,PEDSnet
"SPECIFIC GRAVITY, URINE",2965-2,PEDSnet
SPHEROCYTES,802-9,PHIS
SQUAMOUS EPITHELIUM,12258-0,PHIS
STOMATOCYTES,10380-4,PHIS
SWEET VERNAL GRASS (G1) IGE,6261-2,PEDSnet
T-TRANSGLUTAMINASE (TTG) IGG,32998-7,PEDSnet
TACROLIMUS (FK 506),11253-2,PHIS
TARGET CELLS,10381-2,PHIS
TEARDROPS,7791-7,PHIS
"TESTOSTERONE, SERUM (TOTAL)",2986-8,PEDSnet
TFN SATURATION,13452-8,PHIS
THYROID STIMULAT HORM,3016-3,PHIS
THYROXINE,3026-2,PHIS
THYROXINE BINDING GLOBULIN,3021-3,AAP-CER2
TIMOTHY GRASS (G6) IGE,6265-3,PEDSnet
TOMATO (F25) IGE,6266-1,PEDSnet
TOTAL BILIRUBIN,1975-2,PHIS
TOTAL CELLS COUNTED,11282-1,PHIS
"TOTAL CELLS COUNTED, BF",38256-4,PHIS
TOTAL CO2 (CALC),34728-6,PHIS
TOTAL HEMOGLOBIN,718-7,PHIS
TOTAL PROTEIN,2885-2,PHIS
"TOTAL PROTEIN, CSF",2880-3,PHIS
TOXIC GRANULATION,803-7,PHIS
TRANSFERRIN,3034-6,PHIS
TRANSITIONAL EPITHELIUM,8249-5,PHIS
TRIGLYCERIDE,2571-8,PHIS
TRIPLE PHOSPHATE CRYSTALS,5814-9,PHIS
"TROPONIN T, QUALITATIVE",48426-1,PCORnet
"TROPONIN T, QUANTITATIVE",48425-3,PCORnet
TROPONIN-I,10839-9,PHIS
TUNA (F40) IGE,6270-3,PEDSnet
TYROSINE CRYSTALS,5815-6,PHIS
UR BILIRUBIN,5770-3,PHIS
UR BLOOD,33051-4,PHIS
UR KETONES,5797-6,PHIS
UR LEUKOCYTES,5799-2,PHIS
UR NITRITE,5802-4,PHIS
UR PROTEIN,5804-0,PHIS
UR UROBILINOGEN,3107-0,PHIS
UREA NITROGEN,3094-0,PHIS
URIC ACID,3084-1,PHIS
URIC ACID CRYSTALS,5817-2,PHIS
URINE AMORPHOUS,12454-5,PHIS
URINE BACTERIA,630-4,PHIS
URINE COLOR,5778-6,PHIS
URINE CRYSTALS,5782-8,PHIS
URINE EPI,20453-7,PHIS
URINE MUCUS,8247-9,PHIS
URINE OVAL FAT BODY,25158-7,PHIS
URINE RED BLOOD CELLS,33051-4,PHIS
URINE SEDIMENT,11279-7,PHIS
URINE SPERM,8248-7,PHIS
URINE SUGAR,5792-7,PHIS
URINE TRICHOMONAS,32724-7,PHIS
URINE WHITE BLOOD CELL CLUMPS,50233-6,PHIS
URINE WHITE BLOOD CELLS,5821-4,PHIS
"URINE YEAST, BUDDING",21033-6,PEDSnet
"URINE YEAST, HYPHAE",41865-7,PEDSnet
VACUOLATED SEGS,18319-4,PHIS
VANCOMYCIN TROUGH,4092-3,PHIS
"VIRAL CULTURE, GENERAL",5886-7,PEDSnet
"VIRAL CULTURE, GENERAL",41461-5,
"VITAMIN B1, PLASMA",2999-1,PEDSnet
VITAMIN D 25OH,1989-3,PHIS
VLDL CHOLESTEROL CAL,2091-7,AAP-CER2
WALNUT (F256) IGE,6273-7,PEDSnet
WAXY CASTS,41223-9,PHIS
WHEAT (F4) IGE,6276-0,PEDSnet
WHITE ASH (T15) IGE,6278-6,PEDSnet
WHITE BLOOD CELL CASTS,49103-5,PHIS
WHITE BLOOD CELL COUNT,26464-8,PHIS
WHITE BLOOD CELLS,26466-3,PHIS
